,upstream_bodyId,downstream_bodyId,upstream_roi,downstream_roi,ux,uy,uz,dx,dy,dz,upstream_confidence,downstream_confidence
0,984405805,5813078552,bL(R),bL(R),21483,31159,21107,21494,31141,21122,0.95,0.872246
1,954730964,5813078552,PED(R),PED(R),13070,23575,17401,13093,23556,17385,0.998,0.45550346
2,954730964,5813078552,PED(R),PED(R),13146,25314,17783,13129,25319,17786,0.993,0.586714
3,954730964,5813078552,PED(R),PED(R),13395,27932,18013,13392,27934,17986,0.932,0.702343
4,954730964,5813078552,PED(R),PED(R),13054,23283,17292,13042,23288,17286,0.932,0.71618
5,940425171,5813078552,aL(R),aL(R),16073,29088,6053,16085,29101,6066,0.972,0.760816
6,940425171,5813078552,bL(R),bL(R),21528,28622,21029,21528,28633,21044,0.891,0.999669
7,939738399,5813078552,aL(R),aL(R),16220,29308,6141,16200,29320,6122,0.802,0.408161
8,939738376,5813078552,bL(R),bL(R),20750,30622,21016,20764,30605,21020,0.982,0.95409
9,939738376,5813078552,aL(R),aL(R),16013,27938,11238,16019,27920,11242,0.988,0.736142
10,939734266,5813078552,aL(R),aL(R),15662,28318,10324,15636,28322,10337,0.99,0.666248
11,923726321,5813078552,bL(R),bL(R),24019,29288,20803,24025,29314,20811,0.99,0.948445
12,923359312,5813078552,bL(R),bL(R),15969,32707,20559,15975,32725,20564,0.748,0.972044
13,910412830,5813078552,aL(R),aL(R),16512,29896,6975,16514,29898,6988,0.995,0.948492
14,910063307,5813078552,bL(R),bL(R),16429,32551,21370,16417,32551,21375,0.95,0.851298
15,908668522,5813078552,aL(R),aL(R),16378,28312,11594,16406,28293,11599,0.983,0.450982
16,880409455,5813078552,bL(R),bL(R),22920,29191,20584,22899,29207,20566,0.825,0.676887
17,880409455,5813078552,bL(R),bL(R),15078,32010,20280,15059,31979,20282,0.928,0.661989
18,849707224,5813078552,aL(R),aL(R),15599,29732,7488,15630,29718,7488,0.982,0.729612
19,849370246,5813078552,bL(R),bL(R),15090,31931,20325,15076,31925,20323,0.954,0.843337
20,848330091,5813078552,aL(R),aL(R),16089,29415,9567,16105,29426,9566,0.957,0.709082
21,847989021,5813078552,bL(R),bL(R),22389,30103,20143,22393,30104,20156,0.926,0.997541
22,846620223,5813078552,bL(R),bL(R),15095,31731,20446,15081,31727,20433,0.985,0.997383
23,846620223,5813078552,aL(R),aL(R),15945,28838,5876,15953,28841,5862,0.954,0.875073
24,846620223,5813078552,aL(R),aL(R),16841,29564,5840,16845,29556,5829,0.957,0.861717
25,846620223,5813078552,bL(R),bL(R),15426,30960,20639,15420,30951,20645,0.939,0.75404
26,829235909,5813078552,aL(R),aL(R),16494,28524,11843,16495,28510,11854,0.991,0.993077
27,829235909,5813078552,aL(R),aL(R),15860,30244,15466,15881,30226,15471,0.987,0.617379
28,829235909,5813078552,aL(R),aL(R),16190,30120,14154,16177,30120,14150,0.989,0.927233
29,829235909,5813078552,aL(R),aL(R),16506,29487,12519,16506,29476,12532,0.955,0.93069
30,829235909,5813078552,SIP(R),SIP(R),15829,27858,11037,15827,27852,11022,0.957,0.96228
31,817985849,5813078552,bL(R),bL(R),21378,28879,21049,21391,28882,21030,0.946,0.945181
32,799215269,5813078552,aL(R),aL(R),17438,29592,6815,17441,29595,6801,0.991,0.870706
33,799215269,5813078552,aL(R),aL(R),17706,29342,6731,17698,29342,6722,0.98,0.724495
34,797514653,5813078552,aL(R),aL(R),15959,27913,11111,15957,27913,11124,0.985,0.984821
35,766298734,5813078552,b'L(R),aL(R),15589,30974,17555,15575,30974,17555,0.996,0.999006
36,756585129,5813078552,bL(R),bL(R),15088,31999,20280,15064,31975,20290,0.99,0.681906
37,754197850,5813078552,aL(R),aL(R),16289,29846,7060,16287,29825,7035,0.99,0.443242
38,754197850,5813078552,bL(R),bL(R),15199,31449,20533,15174,31439,20534,0.994,0.823224
39,754197850,5813078552,bL(R),bL(R),15276,31227,20621,15269,31216,20628,0.976,0.992123
40,736813212,5813078552,aL(R),aL(R),17053,29811,6981,17047,29798,6972,0.992,0.984783
41,735785741,5813078552,bL(R),bL(R),22850,29592,20457,22870,29571,20454,0.924,0.553919
42,735785741,5813078552,bL(R),bL(R),22876,29786,20439,22892,29801,20449,0.966,0.919055
43,735785583,5813078552,bL(R),bL(R),22872,29605,20459,22874,29579,20449,0.806,0.690232
44,723853340,5813078552,aL(R),aL(R),16169,30764,18795,16176,30779,18800,0.974,0.863385
45,723853340,5813078552,aL(R),aL(R),14874,31001,17855,14863,31023,17846,0.94,0.704008
46,723853340,5813078552,aL(R),aL(R),14746,31021,17788,14750,31021,17795,0.807,0.982836
47,723853340,5813078552,aL(R),aL(R),16285,29864,13361,16307,29859,13356,0.965,0.82261
48,707647321,5813078552,bL(R),bL(R),22071,31385,20648,22059,31386,20634,0.995,0.924973
49,704409742,5813078552,aL(R),aL(R),16155,27574,6877,16181,27587,6873,0.763,0.677373
50,699031185,5813078552,aL(R),aL(R),17752,27702,6467,17756,27705,6476,0.986,0.998762
51,692110379,5813078552,aL(R),aL(R),15814,30162,15830,15795,30179,15833,0.969,0.87333
52,692110379,5813078552,aL(R),aL(R),16337,29934,13570,16335,29922,13557,0.986,0.993372
53,692110379,5813078552,aL(R),aL(R),16480,29601,12852,16478,29614,12847,0.913,0.437119
54,692110379,5813078552,aL(R),aL(R),16175,30083,13995,16190,30092,13995,0.98,0.777046
55,662789529,5813078552,aL(R),aL(R),15601,28406,10300,15601,28400,10308,0.941,0.975807
56,662789529,5813078552,aL(R),aL(R),15848,30917,18415,15877,30907,18421,0.977,0.658244
57,645090294,5813078552,bL(R),bL(R),22409,30055,20172,22400,30072,20174,0.962,0.999052
58,642680969,5813078552,bL(R),bL(R),22020,30760,20007,22042,30760,20003,0.923,0.986318
59,642680823,5813078552,aL(R),aL(R),17219,27165,6284,17218,27155,6271,0.723,0.893589
60,642680823,5813078552,aL(R),aL(R),15520,28746,10421,15542,28747,10409,0.988,0.704219
61,635062078,5813078552,CA(R),CA(R),11932,14097,10223,11914,14092,10239,0.983,0.978084
62,635062078,5813078552,CA(R),CA(R),11605,13833,10136,11634,13825,10119,0.986,0.62124
63,635062078,5813078552,CA(R),CA(R),11567,13848,10140,11563,13854,10145,0.722,0.729241
64,635062078,5813078552,CA(R),CA(R),13381,12448,11617,13388,12438,11585,0.952,0.456352
65,635062078,5813078552,CA(R),CA(R),11870,13889,10051,11859,13872,10045,0.98,0.858061
