bodyId,type,instance
200326126,CL141,CL141_L
202916528,FS4C,FS4C(FQ12)_C4_R
203253072,FS4A,FS4A(AB)(FQ12)_C3_R
203253253,SMP505,SMP505(PDM22)_L
203257652,FS4C,FS4C(FQ12)_C6_R
203594169,FS4A,FS4A(AB)(FQ12)_C4_R
203594175,FS4A,FS4A(AB)(FQ12)_C4_R
203598499,FB8H,FB8H_L
203598504,FS4A,FS4A(FQ12)_C5_R
203598542,FS4B,FS4B(FQ12)_C4_R
203598557,FS4B,FS4B(FQ12)_C8_R
203931040,FS4A,FS4A(AB)(FQ12)_C3_R
204613133,FB8E,FB8E_L
204962646,FB7L,FB7L_L
204962969,,(PDM05)_L
205299889,FB8F_b,FB8F_b_L
206555682,PI1_c,PI1_c
232513628,OCG01,OCG01
232513671,OCG01,OCG01
233105330,SLP444,SLP444_R
233877926,OCG01,OCG01
234292899,FB7M,FB7M_L
235985275,FB8E,FB8E_L
236330337,FB7I,FB7I_L
236331138,FB7G,FB7G_L
262167456,OCG01,OCG01
262504004,OCG01,OCG01
262517074,OCG01,OCG01
262840563,OCG01,OCG01
263199096,OCG01,OCG01
263475451,SMP535,SMP535_R
263522664,OCG01,OCG01
263674097,LHPD2a5_a,LHPD2a5_a_R
264014957,LHPD2a5_a,LHPD2a5_a_R
264083994,DN1a,DN1a_R
264438143,SLP418,SLP418_R
264779403,LHPV5a3,LHPV5a3_R
264783939,LHPV5a3,LHPV5a3_R
264822904,SLP414,SLP414_R
264986706,FS4B,FS4B(AB)(FQ12)_C3_R
265120223,LHPV5a3,LHPV5a3_R
265120324,LHPV5a3,LHPV5a3_R
265120424,SLP414,SLP414_R
265120467,SLP414,SLP414_R
265120589,SLP414,SLP414_R
265120597,FB1D,FB1D_R
265120677,FB8A,FB8A_R
265124786,SLP075,SLP075_R
265155147,SMP500,SMP500_R
265655867,FB8F_b,FB8F_b_L
266187342,SMP347,SMP347_R
266187383,SMP347,SMP347_R
266187477,SMP349,SMP349_R
266187480,SMP349,SMP349_R
266187532,SMP352,SMP352_R
266187559,SLP399,SLP399_R
266191395,SMP034,SMP034_R
266191407,SMP481,SMP481_R
266200011,SMP187,SMP187_R
266527996,SMP351,SMP351_R
266528044,SMP351,SMP351_R
266528078,SMP352,SMP352_R
266528086,SMP352,SMP352_R
266536576,FB7G,FB7G_R
266626740,,(PDM12)_L
266691460,,(PDM09)_L
266847236,SLP413,SLP413_R
266873389,SLP340,SLP340_R
266873401,SMP025,SMP025_R
266873591,SMP350,SMP350_R
267214250,pC1b,pC1b_R
267223027,SLP259,SLP259_R
267223104,SMP025,SMP025_R
267227062,SLP424,SLP424_R
267304783,PI1_a,PI1_a
267551639,pC1c,pC1c_R
267559575,SIP079,SIP079_R
267559665,SIP083,SIP083_R
267564140,SLP428,SLP428_R
267572587,SLP426,SLP426_R
267896359,SLP421,SLP421_R
267896360,SMP347,SMP347_R
267900632,SIP085,SIP085_R
268237554,SLP423,SLP423_R
268725517,PAM09,PAM09(B1ped)_L
268731005,SMP146,SMP146(ADM10)_L
270322941,PI1_c,PI1_c
294161385,CRZ01,CRZ01_R
294424196,SLP315,SLP315_R
294428266,SLP363,SLP363_R
294432626,LHPD3b2,LHPD3b2_R
294432760,SLP351,SLP351_R
294436967,PPL203,PPL203_R
294437328,SLP055,SLP055_R
294437347,SLP001,SLP001_R
294441510,SLP351,SLP351_R
294445804,SLP210,SLP210_R
294445931,LHPV6a2_b,LHPV6a2_b_R
294450004,SIP015,SIP015_R
294450495,SA1_a,SA1_a_R
294756576,LHPV6a4_b,LHPV6a4_b_R
294760680,LHPV6a4_a,LHPV6a4_a_R
294760699,SLP373,SLP373_R
294760723,SLP063,SLP063_R
294760837,LHPV6i2_a,LHPV6i2_a_R
294773987,SLP271,SLP271_R
294774719,LHPV6a6_a,LHPV6a6_a_R
294774792,SLP252,SLP252_R
294778999,SLP352,SLP352_R
294782432,SLP203,SLP203_R
294782488,LHPV6a9_b,LHPV6a9_b_R
294783216,SLP403,SLP403_R
294783423,SLP302,SLP302_R
294786630,LHPD4e1_b,LHPD4e1_b_R
294786785,SLP300,SLP300_R
294787849,LHPV5e2,LHPV5e2_R
294791509,FB1D,FB1D_R
294791642,SLP416,SLP416_R
294792184,M_vPNml53,M_vPNml53_R
294792311,SLP302,SLP302_R
294792344,SMP166,SMP166_R
294795822,SLP416,SLP416_R
294795963,,(PDL14)_L
294799968,SLP418,SLP418_R
294800293,FB7K,FB7K_R
295063181,DNES2,DNES2_R
295103172,SLP458,SLP458(SCB054)_R
295106899,SLP143,SLP143_R
295107514,LHPV6i3,LHPV6i3_R
295111672,LHPV6b1,LHPV6b1_R
295111734,SLP252,SLP252_R
295115222,SLP303,SLP303_R
295115429,SLP053,SLP053_R
295115628,SLP053,SLP053_R
295115794,LHPD4e1_a,LHPD4e1_a_R
295116165,SLP300,SLP300_R
295116205,SA1_a,SA1_a_R
295119694,SLP301,SLP301_R
295120601,SLP352,SLP352_R
295120620,SLP300,SLP300_R
295124412,SLP092,SLP092_R
295127956,SLP271,SLP271_R
295132077,SLP416,SLP416_R
295132487,SLP418,SLP418_R
295132551,SLP416,SLP416_R
295132845,SMP167,SMP167_R
295133015,SLP414,SLP414_R
295133452,FB9A,FB9A_R
295133743,SLP414,SLP414_R
295133778,SMP497,SMP497_R
295133902,,(PDL14)_L
295133927,SLP418,SLP418_R
295136450,SMP303,SMP303_R
295136668,SLP418,SLP418_R
295136778,FB8A,FB8A_R
295136965,FB1E_b,FB1E_b_R
295137019,SLP182_a,SLP182_a_R
295137392,SLP419,SLP419_R
295137515,SLP415,SLP415_R
295141570,SA1_a,SA1_a_R
295141618,FB9C_b,FB9C_b_R
295434457,SLP317,SLP317_R
295439322,SLP111_a,SLP111_a_R
295443136,SLP062,SLP062_R
295443724,LHPD3b2,LHPD3b2_R
295456248,SLP301,SLP301_R
295456869,SLP055,SLP055_R
295461302,SLP300,SLP300_R
295461534,SLP028,SLP028_R
295461570,SLP371,SLP371_R
295461707,LHAV3a5,LHAV3a5_R
295461871,LHAV3a1_b,LHAV3a1_b_R
295466276,SLP097,SLP097_R
295470623,SLP055,SLP055_R
295470816,SLP097,SLP097_R
295473400,SLP405_a,SLP405_a_R
295473813,SAF,SAF(FB9)_R
295473947,SLP359,SLP359_R
295474250,SLP351,SLP351_R
295474441,SA3,SA3_bilateral_R
295474876,SA1_b,SA1_b_R
295477467,SLP416,SLP416_R
295477903,FB7M,FB7M_R
295478082,SLP359,SLP359_R
295478389,SMP167,SMP167_R
295482340,SMP432_b,SMP432_b_R
295482551,SLP173,SLP173_R
295482578,SLP094,SLP094_R
295482646,SMP167,SMP167_R
295490804,FS4B,FS4B(FQ12)_C9_L
295490863,FS4B,FS4B(FQ12)_C8_L
295779879,LHPV6a2_b,LHPV6a2_b_R
295779961,SLP090,SLP090_R
295780154,LHAV3a5,LHAV3a5_R
295785459,LHAV3a5,LHAV3a5_R
295793991,SLP407,SLP407_R
295797312,SLP346,SLP346_R
295798962,LHAV3a1_a,LHAV3a1_a_R
295799057,SLP111_a,SLP111_a_R
295802733,SLP397,SLP397_R
295805243,LHPV5h1,LHPV5h1_R
295807109,SLP301,SLP301_R
295807429,LHAV3a2,LHAV3a2_R
295814411,SLP211,SLP211_R
295814565,SLP405_c,SLP405_c_R
295814630,SLP029,SLP029_R
295814895,SLP351,SLP351_R
295814932,SLP203,SLP203_R
295815100,SLP420,SLP420_R
295815897,FB9B_e,FB9B_e_R
295815955,SLP420,SLP420_R
295816140,SLP269,SLP269_R
295819960,SA1_a,SA1_a_R
295819998,SLP416,SLP416_R
295820056,SLP204,SLP204_R
295820069,FB8H,FB8H_R
295820085,FB8E,FB8E_R
295823782,FS4B,FS4B(FQ12)_C6_L
295827899,FS4B,FS4B(FQ12)_C2_L
295828029,SMP431,SMP431_R
295849217,SMP497,SMP497_R
295849410,SMP499,SMP499_R
296120593,LHAV3a1_c,LHAV3a1_c_R
296139882,SMP076,SMP076_R
296143798,FB9A,FB9A_R
296143923,SLP107,SLP107_R
296148102,SLP097,SLP097_R
296153150,SLP299,SLP299_R
296153261,LHPV5h1,LHPV5h1_R
