bodyId,instance,type
5813054846,PVM03y_pct(PVM03)_R,PVM03y_pct
1479492693,AVL13t_pct(AVL13)_R,AVL13t_pct
5812982999,KCg,KCg
1720300275,AVL04v_d_pct(AVL04)_R,AVL04v_d_pct
5813060766,PDL14m_a_pct(PDL14)_R,PDL14m_a_pct
883803361,PVM09m_pct(PVM09)_R,PVM09m_pct
1044343952,AVL03c_c_pct(AVL03)_R,AVL03c_c_pct
981583545,PVL09z_pct(PVL09)_R,PVL09z_pct
5812997786,LPC1,LPC1
643679015,PDL18q_pct(PDL18)_R,PDL18q_pct
1384712714,AVL05of_pct(AVL05)_R,AVL05of_pct
5812980016,PDL17q_pct(PDL17)_R,PDL17q_pct
391289810,ADL03m_f_pct(ADL03)_R,ADL03m_f_pct
663950729,PFNm(PB02)_b_L4,PFNm_b
893710296,PAM14(B'1m)(ADM02)_R,PAM14
5813023260,(PVM10)_L,
511660697,ADL09n_a_pct(ADL09)_R,ADL09n_a_pct
1636195409,(PVM01)_L,
513058708,PDL22f_pct(PDL22)_R,PDL22f_pct
641709401,(MBDLaxon1),
1078097609,MC61,MC61
948704770,FQ12_a_C7_L,FQ12_a
1817112807,LC17(lVLPT4)_R,LC17
5812982874,KCg,KCg
971830405,PDM23f_pct(PDM23)_R,PDM23f_pct
299626157,AVM10a_pct(AVM10)_R,AVM10a_pct
1047421689,TuBu4_SBU(ADL06)_R,TuBu4
633097767,PDL14f_pct(PDL14)_R,PDL14f_pct
1173745411,KCg,KCg
488896350,ADM04t_pct(ADM04)_R,ADM04t_pct
661084049,KCg,KCg
912558136,PFNp(PB01)_b_L2,PFNp_b
1200182520,LC10,LC10
1995861983,LC9,LC9
5813032887,KCa'b',KCa'b'
1352598489,LC10,LC10
1752067852,PVM01os_pct(PVM01)_R,PVM01os_pct
1168810900,MC61,MC61
1437306571,PDL12oo_pct(PDL12)_R,PDL12oo_pct
327860997,ADL16h_pct(ADL16)_R,ADL16h_pct
613813102,(ADM01)_L,
1785931916,PVM02t_pct(PVM02)_R,PVM02t_pct
573328182,PDL05c_pct(PDL05)_R,PDL05c_pct
2383731281,mlPN2(AVM04)_R,olfactory multi vPN mlALT
1352676969,PDM12p_pct(PDM12)_R,PDM12p_pct
456152258,PDL06ok_pct(PDL06)_R,PDL06ok_pct
1967844926,LC25,LC25
942491983,EPG(PB08)_R6,EPG
5812999897,PVM06g_c_pct(PVM06)_R,PVM06g_c_pct
916987940,Delta0C,Delta0C
1785490626,AVL10op_pct(AVL10)_R,AVL10op_pct
360263797,ADL02g_pct(ADL02)_R,ADL02g_pct
5813039880,ADL10d_a_pct(ADL10)_R,ADL10d_a_pct
634962055,EPG(PB08)_L4,EPG
569002579,KCab-c,KCab-sc
5813044670,PFNv(PB05)_L8,PFNv
1232952921,MC61,MC61
1320597959,AVL10x_b_pct(AVL10)_R,AVL10x_b_pct
1009004209,ADL08i_pct(aSP11b)(ADL08)_R,ADL08i_pct
1171548212,MC61,MC61
1311168293,Delta0J,Delta0J
1344082025,AVL22a_pct(AVL22)_R,AVL22a_pct
1010999046,AVL12d_pct(AVL12)_R,AVL12d_pct
1667170670,AVL09z_c_pct(AVL09)_R,AVL09z_c_pct
5812983845,LC10,LC10
1137426492,MC64,MC64
1533040839,LC10,LC10
2065745704,l-LNv,l-LNv
1203779116,KCg-d,KCg
1785417481,LC12,LC12
644455046,ADM01y_b_pct(aSP1b)(ADM01)_R,ADM01y_b_pct
5813034081,mlPN2_DP1m(AVM04)_R,olfactory multi vPN mlALT
5901205545,PAM06_b(B'2m)(ADM02)_L,PAM06
331343089,PDM09y_pct(PDM09)_R,PDM09y_pct
1291094742,R1_b(ring)(AVM07)_L,R1_b
1504700834,LC27,LC27
1380495496,PEN(PB06)_a_L6,PEN_a(PEN1)
883772374,(PVM10)_L,
1256494439,LC24,LC24
791017605,PVM09m_pct(PVM09)_R,PVM09m_pct
550422384,ADM07k_pct(ADM07)_R,ADM07k_pct
1815713979,LC12,LC12
